"id","lng","lat","name","road","road_id","url"
"135","-75.3445","40.0517","I-476 SB No of Cnty LN","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam018.jpg"
"136","-75.5616","40.0518","US 202 SB @ Church Rd","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam053.jpg"
"137","-75.265803","40.053","I-76 EB East of Waverly","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam176.jpg"
"138","-75.641317","40.055","PA 100 NB @Worthington","Pennsylvania 100","pa100","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam036.jpg"
"139","-75.500383","40.0561","US 202 SB N of Cedar Hollow Rd","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam050.jpg"
"140","-75.65695","40.0565","PA 100 SB AFT PA 113","Pennsylvania 100","pa100","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam037.jpg"
"141","-75.330983","40.0574","I-476 NB Blue Rt","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam019.jpg"
"142","-75.48595","40.0579","US 202 NB N of N Valley","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam049.jpg"
"143","-74.981717","40.0586","I-95 SB-95 Mil Rd","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam113.jpg"
"144","-75.321417","40.0638","I-476 NB @ I-76/Exit 16B","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam020.jpg"
"145","-74.9697","40.0642","I-95- 895 Tennis Ave","Interstate 95","i95","http://www.dot.state.pa.us/penndot/districts/district6.nsf/TCamera119?openpage"
"146","-75.329483","40.0642","I-76 EB W of Matsnfrd","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam098.jpg"
"147","-75.472617","40.0643","US 202 SB @ Howelvl Rd","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam048.jpg"
"148","-75.276847","40.0644","I-76 EB West of Waverly","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam175.jpg"
"149","-75.318264","40.0655","I-76 WB @ I476 Interchange","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam173.jpg"
"150","-75.460167","40.0655","US 202 NB N of Chesterbrk","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam047.jpg"
"151","-75.312483","40.0666","I-76 WB @ MM 332","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam099.jpg"
"152","-75.337383","40.0676","I-76 WB @ MM","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam097.jpg"
"153","-75.451967","40.0678","US 202 N of US 252","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam046.jpg"
"154","-74.9612","40.068","I-95 NB-Ramp to PA 63","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam115.jpg"
"155","-75.300717","40.068","I-76 EB@MM 332.6","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam100.jpg"
"156","-75.31126","40.069","RT23 EB @ Fayette St","Pennsylvania 23","pa23","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam210.jpg"
"157","-75.343033","40.0695","I-76 EB @ Gulph Mills","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam096.jpg"
"158","-74.961083","40.0706","I-95 SB- 95 Woodhaven","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam116.jpg"
"159","-75.68015","40.0712","PA 100 NB @PA Turnpike","Pennsylvania 100","pa100","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam039.jpg"
"160","-75.441367","40.0718","US 202 SB @ US 252","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam045.jpg"
"161","-75.28695","40.072","I-76 WB @ Conshohocken Curve","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam174.jpg"
"162","-75.28695","40.072","I-76 WB Consh Crve","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam101.jpg"
"163","-75.427417","40.0732","US 202 NB @ W Valley Rd","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam044.jpg"
"164","-75.3478","40.0736","I-76 WB W of Gypsy Rd","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam095.jpg"
"165","-74.948833","40.0741","I-95 NB /WWB Packer","Interstate 95","i95","http://www.dot.state.pa.us/penndot/districts/district6.nsf/TCamera119?openpage"
"166","-74.948833","40.0741","I-95 NB-95 Station Av","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam117.jpg"
"167","-74.948833","40.0741","I-95 SB Island Airport","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam001.jpg"
"168","-74.948833","40.0741","I-95 SB-Aramingo/Gir","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam009.jpg"
"169","-74.948833","40.0741","I-95 SB-Broad St.","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam003.jpg"
